Cross Section Report
//ppfs6.physics.ox.ac.uk/CEG/Central Electronics/Projects/Hastingsp/DUNE/uob-hep-pc065/design_files/worklib/pc065b_fibv2_toplevel/physical/pc065c_fibv2_toplevel_19.brd
Thu Apr  4 13:42:00 2024

Design Cross Section
Subclass Name,Type,Material,Thickness (MM),Tol +,Tol -,Conductivity (mho/cm),Dielectric Constant,Loss Tangent,Negative Artwork,Shield,Width (MM),Unused Pin Pad Suppression,Unused Via Pad Suppression
,SURFACE,AIR,,,,0,1,0,,,,,
,DIELECTRIC,FR-4,0.025,0,0,0,3.2,0.035,,,,,
TOP,CONDUCTOR,COPPER,0.018,0,0,595900,1,0,,,0.150,,
,DIELECTRIC,FR-4,0.19,0,0,0,4.5,0.035,,,,,
L2_GND,PLANE,COPPER,0.035,0,0,595900,1,0.035,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.5,0.035,,,,,
L3_SIG,CONDUCTOR,COPPER,0.035,0,0,595900,1,0.035,,,0.150,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
L4_PWR,PLANE,COPPER,0.035,0,0,595900,4.5,0,,Yes,,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.5,0.035,,,,,
L5_PWR,PLANE,COPPER,0.035,0,0,595900,4.5,0,,Yes,,,
,DIELECTRIC,FR-4,0.24,0,0,0,4.5,0.035,,,,,
L6_SIG,CONDUCTOR,COPPER,0.035,0,0,595900,1,0.035,,,0.150,,
,DIELECTRIC,FR-4,0.2,0,0,0,4.5,0.035,,,,,
L7_GND,PLANE,COPPER,0.035,0,0,595900,1,0.035,,Yes,,,
,DIELECTRIC,FR-4,0.19,0,0,0,4.5,0.035,,,,,
BOTTOM,CONDUCTOR,COPPER,0.018,0,0,595900,1,0,,,0.150,,
,DIELECTRIC,FR-4,0.025,0,0,0,3.2,0.035,,,,,
,SURFACE,AIR,,,,0,1,0,,,,,

Total Thickness: 1.756 MM
